頻道,訊息ID,發送者,匹配檔案,票數,URL
266,1472399631894974595,Pokétwo#8236,951.png,27,https://cdn.discordapp.com/attachments/1468632832208277735/1472399632171794673/pokemon.jpg?ex=6a7a7684&is=6a792504&hm=84e34a54bc61001172a4fb41dc882fbddee81440e0317fc2fb9fdc590a93927a&
287,1477528751138013184,Pokétwo#8236,137.png,8,https://cdn.discordapp.com/attachments/1468632832481169474/1477528751205253290/pokemon.jpg?ex=6a7aaa61&is=6a7958e1&hm=261ade82da74ee043fe351e992a90591fcb317b9d709234ebd1f0b284eeaa99b&
469,1472133930340585493,Pokétwo#8236,74.png,27,https://cdn.discordapp.com/attachments/1468632835458863178/1472133930873389158/pokemon.jpg?ex=6a7ad090&is=6a797f10&hm=f9f3b8b9043eb60b0dfc1af5c30df7d77ae151328649249662d7a9e3da611ab4&
447,1472226871688171618,Pokétwo#8236,133.png,41,https://cdn.discordapp.com/attachments/1468632834993295572/1472226871981899796/pokemon.jpg?ex=6a7a7e5e&is=6a792cde&hm=2d999e1d79b9d62a84ce9ce9aeeaf4a84544fdf794ce14dc0e8b08250de73fde&
215,1472220130179158056,Pokétwo#8236,35.png,75,https://cdn.discordapp.com/attachments/1468632830799122597/1472220130481279121/pokemon.jpg?ex=6a7a7817&is=6a792697&hm=94d7bb823fc013ae7abc990464dc5c0d2e86e8e9aeb3f9f90447e50fa2a9ea25&
26,1472429829755371624,Pokétwo#8236,759.png,115,https://cdn.discordapp.com/attachments/1468632826847953119/1472429829931667616/pokemon.jpg?ex=6a7a92a3&is=6a794123&hm=193211d58d15471a212296b9e876412de8305b7e7596e15551018f96a6465d28&
62,1472412126139252817,Pokétwo#8236,950.png,74,https://cdn.discordapp.com/attachments/1468632827523240147/1472412126508220599/pokemon.jpg?ex=6a7a8227&is=6a7930a7&hm=fae45f1a14ec6ba66c0e620bc33566d5df70e2ac064bf142e24e9094a82f4556&
157,1472436236546211932,Pokétwo#8236,662.png,42,https://cdn.discordapp.com/attachments/1468632829754867714/1472436236948869362/pokemon.jpg?ex=6a7a989b&is=6a79471b&hm=a4968247ef14a247c8580b16eeb09a040130468e20306edbf64bd1ba155d8f6d&
45,1472454655538626777,Pokétwo#8236,292.png,83,https://cdn.discordapp.com/attachments/1468632827217313984/1472454655991742534/pokemon.jpg?ex=6a7aa9c2&is=6a795842&hm=b0d383db69e54df866cb9610941247a63ef9e609da6596652d70b77a61f99f6b&
463,1472372422467522712,Pokétwo#8236,926.png,65,https://cdn.discordapp.com/attachments/1468632835303936116/1472372422584828100/pokemon.jpg?ex=6a7b05ec&is=6a79b46c&hm=d3cc4d8748219f2a9fdb9d38af474dd7477673ee60edd36dd86dd6bdfeec45d6&
59,1472284031084400868,Pokétwo#8236,759.png,111,https://cdn.discordapp.com/attachments/1468632827523240144/1472284031201837137/pokemon.jpg?ex=6a7ab39a&is=6a79621a&hm=907ee6869c872f3c17a1d98a907313ae93e4f1da6bb7b6b1c7657e0bb963f923&
54,1472353972713947356,Pokétwo#8236,610.png,76,https://cdn.discordapp.com/attachments/1468632827406061800/1472353972777124031/pokemon.jpg?ex=6a7af4be&is=6a79a33e&hm=5e778da82eea0fe7ad59f31555e8edb864c783d7077fdd74730c0a4fdfa912ae&
28,1472288912717119508,Pokétwo#8236,363.png,112,https://cdn.discordapp.com/attachments/1468632827095421050/1472288912893284483/pokemon.jpg?ex=6a7ab826&is=6a7966a6&hm=55797cadae057288659aa511e38271efc6f7f4ca47b8b3e10142a0e0d01a3f44&
156,1472426882577338478,Pokétwo#8236,10308.png,50,https://cdn.discordapp.com/attachments/1468632829754867713/1472426882640248913/pokemon.jpg?ex=6a7a8fe5&is=6a793e65&hm=45d67ab29b5276f45f5492810fb95ee66c108afe2c18635418cfee0d063da079&
339,1472438687437684809,Pokétwo#8236,502.png,44,https://cdn.discordapp.com/attachments/1468632833294860451/1472438687546478796/pokemon.jpg?ex=6a7a9ae3&is=6a794963&hm=0df1c91ddcb159fb301b3a1dbfdf097a09c7d3eed9ddb92dab9823486b4d1501&
9,1472402086670106828,Pokétwo#8236,10257.png,14,https://cdn.discordapp.com/attachments/1468632826495766793/1472402086913249433/pokemon.jpg?ex=6a7a78cd&is=6a79274d&hm=40bab9c18445eb3c48f1d73995d7d6d970df951477675ccc26284e297d4813d6&
136,1472419733512130662,Pokétwo#8236,885.png,8,https://cdn.discordapp.com/attachments/1468632829306081494/1472419733931556947/pokemon.jpg?ex=6a7a893c&is=6a7937bc&hm=eba90d3a2ad4e0e54c3002c502a8197f562d05afffdb0d3ba97c12a55771e638&
297,1472490681518919722,Pokétwo#8236,265.png,95,https://cdn.discordapp.com/attachments/1468632832627707940/1472490681963511858/pokemon.jpg?ex=6a7acb50&is=6a7979d0&hm=38f8e00e2d9f584eccc3de87bb5a77e8e31781f5cb76f5dc2c0c02314884546a&
60,1472440902772592784,Pokétwo#8236,699.png,59,https://cdn.discordapp.com/attachments/1468632827523240145/1472440902881513575/pokemon.jpg?ex=6a7a9cf3&is=6a794b73&hm=629689eb57687f1163cfc8efa7e6eb0c06860510dd600a8649ba093a2ce5d775&
299,1472387602555342970,Pokétwo#8236,597.png,109,https://cdn.discordapp.com/attachments/1468632832627707942/1472387602643681587/pokemon.jpg?ex=6a7a6b50&is=6a7919d0&hm=6c17f6107d656c362726f06dca2dcab58817a96cee2a3bdbd560d87046a8b5d4&
436,1472169200557621340,Pokétwo#8236,919.png,53,https://cdn.discordapp.com/attachments/1468632834817396825/1472169200889106514/pokemon.jpg?ex=6a7af169&is=6a799fe9&hm=dbade9be958f05fdae2c8e2077f8c2d17e1edb27ef724d2eb8e96c3c594b65c4&
214,1472435740276297783,Pokétwo#8236,231.png,79,https://cdn.discordapp.com/attachments/1468632830799122596/1472435740754575393/pokemon.jpg?ex=6a7a9825&is=6a7946a5&hm=0a5783ed469ae82e4b513b6f5975aae7ded3ab61bcc9d78235d4b835c6f75122&
231,1472491167152209994,Pokétwo#8236,953.png,17,https://cdn.discordapp.com/attachments/1468632831021551633/1472491167630364723/pokemon.jpg?ex=6a7acbc3&is=6a797a43&hm=f4a41a0688b10522bbb9ea5893fb10472df13989c8513a080b057a9a7d729495&
130,1472253922696630444,Pokétwo#8236,316.png,69,https://cdn.discordapp.com/attachments/1468632829150888133/1472253922805678214/pokemon.jpg?ex=6a7a9790&is=6a794610&hm=c94fcb6e4f5e70478c72892e205fbebbbe8f4a5218446cc1fc92aa5fa7afed6c&
320,1472471996452442144,Pokétwo#8236,976.png,42,https://cdn.discordapp.com/attachments/1468632833068110118/1472471997090107476/pokemon.jpg?ex=6a7ab9e9&is=6a796869&hm=83754d163e6bd3b4989dad6838dc415990a35171ce00c8d65678661ec40803f7&
